,,,,,5. Tech Usage Only (No AI),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Search Term ,,,Paper Title,,,Database,,,DOI link,,,,,,,,
,,Attention span in tech-usage,,,METAPHORICAL FRAMING OF CHILDREN’S DIGITAL MEDIA ADDICTION IN MEDIA DISCOURSE,,,Google Scholar,,,https://www.ceeol.com/search/journal-detail?id=2304,,,,,,,,
,,Attention span in tech-usage,,,Understanding AI tool engagement: A study of ChatGPT usage and word-of-mouth among university students and office workers,,,Science Direct,,,https://doi.org/10.1016/j.tele.2023.102067,,,,,,,,
,,Attention span in tech-usage,,,SleepNet: Attention-Enhanced Robust Sleep Prediction using Dynamic Social Networks,,,ACM Digital Library,,,https://doi.org/10.1145/3643508,,,,,,,,
,,Attention span in tech-usage,,,"A survey on digital device engagement, digital stress, and coping strategies among college students in the Philippines",,,Google Scholar,,,https://doi.org/10.1080/02673843.2024.2371413,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
